GAS,TEMP,UMID,Classe
545,20.00,74.00,Sim
367,21.00,76.00,Nao
364,20.00,76.00,Nao
380,20.00,76.00,Nao
368,20.00,76.00,Nao
365,20.00,76.00,Nao
372,20.00,76.00,Nao
595,20.00,76.00,Sim
369,20.00,76.00,Nao
378,20.00,76.00,Nao
367,20.00,76.00,Nao
373,20.00,76.00,Nao
367,20.00,75.00,Nao
370,20.00,76.00,Nao
372,20.00,76.00,Nao
363,20.00,76.00,Nao
542,21.00,77.00,Sim
368,21.00,77.00,Nao
374,21.00,76.00,Nao
368,21.00,76.00,Nao
367,21.00,75.00,Nao
373,21.00,75.00,Nao
365,21.00,75.00,Nao
376,21.00,74.00,Nao
364,21.00,74.00,Nao
392,21.00,73.00,Nao
369,22.00,73.00,Nao
366,22.00,73.00,Nao
374,22.00,72.00,Nao
576,22.00,71.00,Sim
375,22.00,71.00,Nao
364,22.00,70.00,Nao
375,23.00,69.00,Nao
370,23.00,69.00,Nao
369,23.00,68.00,Nao
369,23.00,67.00,Nao
367,23.00,66.00,Nao
373,23.00,66.00,Nao
293,24.00,65.00,Nao
376,24.00,64.00,Nao
366,24.00,63.00,Nao
375,24.00,62.00,Nao
370,24.00,62.00,Nao
366,25.00,61.00,Nao
374,25.00,60.00,Nao
364,26.00,60.00,Nao
376,25.00,58.00,Nao
365,25.00,58.00,Nao
376,25.00,57.00,Nao
368,26.00,57.00,Nao
375,26.00,57.00,Nao
526,26.00,56.00,Sim
373,26.00,55.00,Nao
366,26.00,55.00,Nao
370,26.00,54.00,Nao
368,27.00,54.00,Nao
367,27.00,53.00,Nao
331,27.00,53.00,Nao
364,27.00,52.00,Nao
376,27.00,52.00,Nao
369,27.00,52.00,Nao
368,27.00,51.00,Nao
372,27.00,51.00,Nao
365,27.00,50.00,Nao
570,27.00,50.00,Sim
367,28.00,50.00,Nao
376,28.00,50.00,Nao
362,28.00,50.00,Nao
376,28.00,49.00,Nao
365,28.00,49.00,Nao
374,28.00,49.00,Nao
366,28.00,48.00,Nao
369,28.00,48.00,Nao
508,28.00,48.00,Sim
366,28.00,48.00,Nao
374,28.00,47.00,Nao
365,28.00,47.00,Nao
376,28.00,47.00,Nao
363,29.00,47.00,Nao
375,29.00,47.00,Nao
366,29.00,47.00,Nao
375,29.00,47.00,Nao
370,29.00,47.00,Nao
365,29.00,46.00,Nao
376,29.00,46.00,Nao
363,29.00,46.00,Nao
557,29.00,46.00,Sim
367,29.00,46.00,Nao
367,29.00,45.00,Nao
377,29.00,45.00,Nao
364,29.00,45.00,Nao
376,29.00,45.00,Nao
365,29.00,45.00,Nao
370,29.00,44.00,Nao
368,29.00,44.00,Nao
387,29.00,44.00,Nao
373,29.00,44.00,Nao
368,29.00,44.00,Nao
377,29.00,43.00,Nao
366,29.00,43.00,Nao
367,29.00,43.00,Nao
376,29.00,43.00,Nao
364,29.00,43.00,Nao
368,30.00,43.00,Nao
370,30.00,43.00,Nao
325,30.00,44.00,Nao
370,30.00,44.00,Nao
367,29.00,44.00,Nao
502,29.00,44.00,Sim
370,29.00,44.00,Nao
366,29.00,45.00,Nao
367,29.00,46.00,Nao
370,29.00,46.00,Nao
368,29.00,46.00,Nao
369,28.00,45.00,Nao
367,28.00,46.00,Nao
366,28.00,46.00,Nao
369,28.00,47.00,Nao
364,28.00,47.00,Nao
370,27.00,46.00,Nao
367,27.00,47.00,Nao
525,27.00,47.00,Sim
370,27.00,48.00,Nao
365,27.00,48.00,Nao
373,26.00,49.00,Nao
368,26.00,50.00,Nao
374,26.00,51.00,Nao
372,25.00,51.00,Nao
375,25.00,52.00,Nao
331,25.00,53.00,Nao
504,25.00,54.00,Sim
380,24.00,55.00,Nao
375,24.00,56.00,Nao
384,24.00,57.00,Nao
534,24.00,58.00,Sim
382,23.00,58.00,Nao
381,23.00,59.00,Nao
382,23.00,59.00,Nao
385,23.00,60.00,Nao
382,23.00,60.00,Nao
380,23.00,61.00,Nao
386,23.00,61.00,Nao
377,23.00,61.00,Nao
549,23.00,62.00,Sim
386,23.00,62.00,Nao
382,23.00,62.00,Nao
382,23.00,63.00,Nao
381,23.00,63.00,Nao
376,22.00,64.00,Nao
385,22.00,64.00,Nao
382,22.00,64.00,Nao
381,22.00,65.00,Nao
388,22.00,65.00,Nao
385,22.00,66.00,Nao
387,22.00,66.00,Nao
390,22.00,66.00,Nao
568,22.00,67.00,Sim
503,22.00,67.00,Sim
377,22.00,68.00,Nao
577,22.00,69.00,Sim
363,27.00,53.00,Nao
564,27.00,52.00,Sim
368,28.00,52.00,Nao
361,28.00,51.00,Nao
367,28.00,51.00,Nao
366,28.00,50.00,Nao
364,28.00,49.00,Nao
369,28.00,49.00,Nao
379,28.00,48.00,Nao
368,28.00,48.00,Nao
604,29.00,48.00,Sim
365,29.00,47.00,Nao
370,29.00,47.00,Nao
364,29.00,47.00,Nao
370,29.00,46.00,Nao
367,29.00,46.00,Nao
384,29.00,45.00,Nao
369,29.00,45.00,Nao
366,29.00,45.00,Nao
373,29.00,44.00,Nao
366,29.00,44.00,Nao
372,30.00,43.00,Nao
366,30.00,43.00,Nao
650,30.00,43.00,Sim
366,30.00,42.00,Nao
373,30.00,42.00,Nao
367,29.00,42.00,Nao
375,30.00,42.00,Nao
366,30.00,41.00,Nao
374,30.00,41.00,Nao
368,30.00,41.00,Nao
369,30.00,41.00,Nao
382,30.00,41.00,Nao
367,30.00,40.00,Nao
374,30.00,40.00,Nao
366,30.00,40.00,Nao
374,30.00,40.00,Nao
368,30.00,40.00,Nao
372,30.00,40.00,Nao
370,30.00,39.00,Nao
377,30.00,39.00,Nao
375,30.00,39.00,Nao
368,30.00,39.00,Nao
375,30.00,39.00,Nao
367,31.00,40.00,Nao
634,30.00,39.00,Sim
369,31.00,40.00,Nao
372,31.00,40.00,Nao
379,30.00,39.00,Nao
370,31.00,40.00,Nao
374,31.00,40.00,Nao
368,31.00,40.00,Nao
375,31.00,40.00,Nao
368,31.00,40.00,Nao
381,31.00,40.00,Nao
367,31.00,40.00,Nao
384,31.00,39.00,Nao
368,31.00,39.00,Nao
686,31.00,39.00,Sim
372,31.00,39.00,Nao
370,31.00,39.00,Nao
376,31.00,39.00,Nao
368,31.00,39.00,Nao
377,31.00,39.00,Nao
328,31.00,39.00,Nao
382,31.00,39.00,Nao
374,31.00,39.00,Nao
664,31.00,39.00,Sim
